Diagnosis Year,Cancer type,Gender,Stage,Age At Diagnosis,Years Since Diagnosis,Patients,Survival (%)
2015-2019,Bladder,Persons,All stages combined,15-44,1,96,68.7
2015-2019,Bladder,Persons,All stages combined,45-54,1,397,71.7
2015-2019,Bladder,Persons,All stages combined,55-64,1,1105,76.5
2015-2019,Bladder,Persons,All stages combined,65-74,1,2227,71.4
2015-2019,Bladder,Persons,All stages combined,75-99,1,3738,60.7
2015-2019,Bladder,Persons,All stages combined,All ages,1,7563,66.9
2015-2019,Bladder,Persons,All stages combined,All ages,1,7563,69.1
2015-2019,Bladder,Persons,All stages combined,15-44,2,96,56.2
2015-2019,Bladder,Persons,All stages combined,45-54,2,397,61
2015-2019,Bladder,Persons,All stages combined,55-64,2,1105,66.1
2015-2019,Bladder,Persons,All stages combined,65-74,2,2227,61
2015-2019,Bladder,Persons,All stages combined,75-99,2,3738,48.8
2015-2019,Bladder,Persons,All stages combined,All ages,2,7563,55.6
2015-2019,Bladder,Persons,All stages combined,All ages,2,7563,57.9
2015-2019,Bladder,Persons,All stages combined,15-44,3,96,54.9
2015-2019,Bladder,Persons,All stages combined,45-54,3,397,56.2
2015-2019,Bladder,Persons,All stages combined,55-64,3,1105,61.1
2015-2019,Bladder,Persons,All stages combined,65-74,3,2227,55.4
2015-2019,Bladder,Persons,All stages combined,75-99,3,3738,42.6
2015-2019,Bladder,Persons,All stages combined,All ages,3,7563,49.9
2015-2019,Bladder,Persons,All stages combined,All ages,3,7563,52.5
2015-2019,Bladder,Persons,All stages combined,55-64,4,1105,58.3
2015-2019,Bladder,Persons,All stages combined,65-74,4,2227,51.8
2015-2019,Bladder,Persons,All stages combined,75-99,4,3738,36.4
2015-2019,Bladder,Persons,All stages combined,All ages,4,7563,45.1
2015-2019,Bladder,Persons,All stages combined,All ages,4,7563,48.3
2015-2019,Bladder,Persons,All stages combined,55-64,5,1105,55.9
2015-2019,Bladder,Persons,All stages combined,65-74,5,2227,49
2015-2019,Bladder,Persons,All stages combined,75-99,5,3738,33.7
2015-2019,Bladder,Persons,All stages combined,All ages,5,7563,42.4
2015-2019,Bladder,Persons,All stages combined,All ages,5,7563,45.6
2015-2019,Bladder,Persons,All stages combined,15-44,1,99,71.2
2015-2019,Bladder,Persons,All stages combined,45-54,1,348,77.8
2015-2019,Bladder,Persons,All stages combined,55-64,1,958,79.7
2015-2019,Bladder,Persons,All stages combined,65-74,1,2398,75.6
2015-2019,Bladder,Persons,All stages combined,75-99,1,4320,61.2
2015-2019,Bladder,Persons,All stages combined,All ages,1,8123,68.5
2015-2019,Bladder,Persons,All stages combined,All ages,1,8123,71.9
2015-2019,Bladder,Persons,All stages combined,15-44,2,99,61.3
2015-2019,Bladder,Persons,All stages combined,45-54,2,348,69.2
2015-2019,Bladder,Persons,All stages combined,55-64,2,958,70.4
2015-2019,Bladder,Persons,All stages combined,65-74,2,2398,65.1
2015-2019,Bladder,Persons,All stages combined,75-99,2,4320,49.6
2015-2019,Bladder,Persons,All stages combined,All ages,2,8123,57.6
2015-2019,Bladder,Persons,All stages combined,All ages,2,8123,61.4
2015-2019,Bladder,Persons,All stages combined,15-44,3,99,59.7
2015-2019,Bladder,Persons,All stages combined,45-54,3,348,66.9
2015-2019,Bladder,Persons,All stages combined,55-64,3,958,67.2
2015-2019,Bladder,Persons,All stages combined,65-74,3,2398,59.4
2015-2019,Bladder,Persons,All stages combined,75-99,3,4320,43.7
2015-2019,Bladder,Persons,All stages combined,All ages,3,8123,52.3
2015-2019,Bladder,Persons,All stages combined,All ages,3,8123,56.7
2015-2019,Bladder,Persons,All stages combined,55-64,4,958,65.8
2015-2019,Bladder,Persons,All stages combined,65-74,4,2398,56.7
2015-2019,Bladder,Persons,All stages combined,75-99,4,4320,40.7
2015-2019,Bladder,Persons,All stages combined,All ages,4,8123,49.5
2015-2019,Bladder,Persons,All stages combined,All ages,4,8123,54.1
2015-2019,Bladder,Persons,All stages combined,55-64,5,958,63.1
2015-2019,Bladder,Persons,All stages combined,65-74,5,2398,54.6
2015-2019,Bladder,Persons,All stages combined,75-99,5,4320,37.3
2015-2019,Bladder,Persons,All stages combined,All ages,5,8123,46.7
2015-2019,Bladder,Persons,All stages combined,All ages,5,8123,51.6
2015-2019,Bladder,Persons,All stages combined,15-44,1,67,76.2
2015-2019,Bladder,Persons,All stages combined,45-54,1,335,79.9
2015-2019,Bladder,Persons,All stages combined,55-64,1,921,78.4
2015-2019,Bladder,Persons,All stages combined,65-74,1,2568,78.2
2015-2019,Bladder,Persons,All stages combined,75-99,1,5057,62.8
2015-2019,Bladder,Persons,All stages combined,All ages,1,8948,69.5
2015-2019,Bladder,Persons,All stages combined,All ages,1,8948,73.5
2015-2019,Bladder,Persons,All stages combined,15-44,2,67,68.3
2015-2019,Bladder,Persons,All stages combined,45-54,2,335,67.3
2015-2019,Bladder,Persons,All stages combined,55-64,2,921,69
2015-2019,Bladder,Persons,All stages combined,65-74,2,2568,67.8
2015-2019,Bladder,Persons,All stages combined,75-99,2,5057,51.9
2015-2019,Bladder,Persons,All stages combined,All ages,2,8948,58.9
2015-2019,Bladder,Persons,All stages combined,All ages,2,8948,63
2015-2019,Bladder,Persons,All stages combined,15-44,3,67,61.5
2015-2019,Bladder,Persons,All stages combined,45-54,3,335,64
2015-2019,Bladder,Persons,All stages combined,55-64,3,921,63.8
2015-2019,Bladder,Persons,All stages combined,65-74,3,2568,62.7
2015-2019,Bladder,Persons,All stages combined,75-99,3,5057,46.3
2015-2019,Bladder,Persons,All stages combined,All ages,3,8948,53.6
2015-2019,Bladder,Persons,All stages combined,All ages,3,8948,57.7
2015-2019,Bladder,Persons,All stages combined,55-64,4,921,62.2
2015-2019,Bladder,Persons,All stages combined,65-74,4,2568,60.4
